randomindex,X,system.index,Aridity_Index,Biome,CHELSA_Annual_Mean_Temperature,CHELSA_Annual_Precipitation,CHELSA_Isothermality,CHELSA_Max_Temperature_of_Warmest_Month,CHELSA_Mean_Diurnal_Range,CHELSA_Mean_Temperature_of_Coldest_Quarter,CHELSA_Mean_Temperature_of_Driest_Quarter,CHELSA_Mean_Temperature_of_Warmest_Quarter,CHELSA_Mean_Temperature_of_Wettest_Quarter,CHELSA_Min_Temperature_of_Coldest_Month,CHELSA_Precipitation_Seasonality,CHELSA_Precipitation_of_Coldest_Quarter,CHELSA_Precipitation_of_Driest_Month,CHELSA_Precipitation_of_Driest_Quarter,CHELSA_Precipitation_of_Warmest_Quarter,CHELSA_Precipitation_of_Wettest_Month,CHELSA_Precipitation_of_Wettest_Quarter,CHELSA_Temperature_Annual_Range,CHELSA_Temperature_Seasonality,Depth_to_Water_Table,EarthEnvCloudCover_MODCF_interannualSD,EarthEnvCloudCover_MODCF_intraannualSD,EarthEnvCloudCover_MODCF_meanannual,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Northness,EarthEnvTopoMed_ProfileCurvature,EarthEnvTopoMed_Roughness,EarthEnvTopoMed_Slope,Human_Development_Percentage,Human_Disturbance,LandCoverClass_Cultivated_and_Managed_Vegetation,LandCoverClass_Urban_Builtup,SG_Absolute_depth_to_bedrock,SG_Clay_Content_0_100cm,SG_Coarse_fragments_0_100cm,SG_Sand_Content_0_100cm,SG_Silt_Content_0_100cm,SG_Soil_pH_H2O_0_100cm,WDPA,WorldClim2_SolarRadiation_AnnualMean,WorldClim2_WindSpeed_AnnualMean,cropland,grazing,index,info_coverage,leaf_habit,no_plots,pasture,rangeland,year,.geo,longitude,latitude
4814,4814,00000000000000003bca_0,12523,Tundra,17.367716,593.47296,181.13797,172.64207,52.661175,-87.577774,43.37264,133.07758,38.9671,-118.08208,26.537586,162.03957,28.167768,87.53681,158.77159,73.43631,202.20844,290.72415,8248.607,11.755789,1464,603,6150,-0.839952,-0.49555147,-0.048547458,83.5,-0.088401586,-0.000602893,21.5,1.8958559,0,0.27007073,0,0,1824.1514,8.020713,22.261372,54.561207,37.505524,55.199364,0,7519,2.0583334,6.175488,0,0,1,0,1,0,0,2011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.962500000000006,68.92916666666667]}",18.9625,68.92916667
4815,4815,00000000000000003c97_0,13012,Tundra,3.1244931,525.01886,185.6388,140.59995,48.702644,-92.81941,19.853727,106.22781,79.05832,-121.751724,23.611275,121.28399,28.066694,85.20008,170.30048,59.1169,171.38419,262.35165,7299.025,13.619023,818,1808,7739,-0.9968816,0.05576712,0.03380077,101,-0.8021287,-5.50E-05,88,9.627037,0,0.04981253,0,0,2899.237,9.74132,23.234207,57.41141,32.78003,54.811295,1,7382.9165,5.3166666,0.08628924,0,0,1,0,1,0,0,2011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.8125,70.50416666666666]}",29.8125,70.50416667
4816,4816,00000000000000003c9b_0,12040,Tundra,2.5059078,490.4162,177.43246,150.9828,48.81705,-98.42294,-28.169283,111.042595,109.71675,-124.14753,33.64915,95.90031,23,69.983536,185.69931,61.899773,185.69931,275.1303,7713.3413,42.813812,909,1827,7381,0.90362895,0.42628008,-0.05873042,180.5,-0.43545732,9.71E-05,41.5,3.8383102,0,0.056052413,0,0,1427.6625,6.459404,15.872367,60.587406,32.833893,49.950348,0,7593.8335,4.758333,0,0,0,1,0,1,0,0,2011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.47083333333333,69.60416666666667]}",30.47083333,69.60416667
4820,4820,000000000000000038b5_0,28222,Tundra,52.06489,1557.3474,208.24774,153.06567,38.7711,-13.534897,97.55078,128.99887,1.1393887,-33.112072,36.267654,445.39352,62.05101,196.11847,278.08713,191.22105,557.563,186.17773,5275.1147,61.159634,1335,328,7271,-0.8998831,0.43613106,-0.14693055,313.5,0.29449758,-0.000293951,183.5,14.863281,33,0.5634877,33,0,1600.691,6.817257,26.622427,60.01477,33.30926,51.559032,0,8375.75,4.3333335,5.0139375,0,0,1,0,1,0,0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.370833333333337,62.1875]}",6.370833333,62.1875
4821,4821,000000000000000038d7_0,17113,Tundra,25.426075,978.9283,245.61253,167.14056,62.70696,-58.58731,-3.3500302,119.12553,43.764717,-88.1679,27.409277,207.60278,42.133736,145.45146,231.73567,119.368,344.0543,255.30847,6684.496,67.42362,1036,473,7451,-0.5207551,-0.810982,0.23456591,763.5,-0.14287616,1.59E-05,99.5,8.366278,0,0.045125615,0,0,639.6428,7.3717523,21.63253,56.034546,36.721783,47.730614,0,9121.75,3.55,0.14477831,0,0,1,10,1,0,0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.720833333333331,59.22916666666667]}",7.720833333,59.22916667
4822,4822,000000000000000038dd_0,19680,Tundra,37.10103,1432.0333,238.2396,169.2866,56.859932,-42.40277,7.3169184,125.44079,13.542292,-69.380394,26.928793,325.3129,76.882515,245.58055,375.11166,177.6481,509.04532,238.667,6279.214,64.02943,1097,826,7217,0.25840002,0.60973984,-0.06859409,660.5,0.046479292,0.000159624,59,4.922947,18,0.055228382,18,0,309.85,9.966148,23.591211,57.09692,33.09907,51.847134,0,9282.083,3.7416666,0,0,0,1,4.761904762,1,0,0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.945833333333326,58.72083333333333]}",7.945833333,58.72083333
4823,4823,000000000000000038fa_0,13529,Tundra,1.6785109,657.92694,224.85806,146.5854,58.06579,-86.7135,-22.295578,101.05538,101.030685,-111.64774,28.291454,150.16443,30.0499,97.14942,224.3315,78.11598,224.36497,258.23312,6998.5303,51.144745,1075,278,7235,-0.9362632,0.12311426,0.04997602,1047,0.112642005,-0.000326597,152.5,15.016138,20,0.33028674,20,0,975.26355,7.0536823,21.227606,54.130898,38.896545,51.970093,0,8799.333,2.975,1.4097128,0.2936965,0,1,0,1,0.2936965,0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.462500000000006,60.84583333333333]}",8.4625,60.84583333
4824,4824,00000000000000003b10_0,19055,Tundra,15.003358,940.10095,201.90248,160.79451,53.985523,-79.084496,35.705025,118.21059,36.992626,-106.58963,25.644218,267.0002,42,133.01674,221.0667,107.01672,310.01697,267.38412,7346.8286,4.910246,1081,659,6955,0.63083285,0.4154116,0.36321905,508.5,0.3998801,-0.0001481,15.5,1.2024026,0,0.07990539,0,0,483.6475,6.116703,19.181677,57.25746,36.599102,50.246685,0,8195.583,2.6583333,0.19615366,0,0,1,0,1,0,0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.620833333333337,64.9625]}",13.62083333,64.9625
4826,4826,00000000000000003bcc_0,18319,Tundra,21.258762,1054.0212,172.24132,152.38008,42.172596,-68.144455,40.101387,122.466255,41.342327,-92.46587,27.91903,295.28467,49.033524,160.13408,238.20114,131.15056,369.41815,244.84595,7056.7744,34.137585,1421,843,6190,-0.2006422,-0.9796202,-0.5468826,130,-0.08448854,-0.000660915,69.5,7.2029357,0,0.12839267,0,0,1352.6847,7.39763,21.664303,60.8157,31.72525,54.454803,0,7446,3.65,0.014154372,0.011205236,0,1,0,1,0,0.011205236,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.07916666666665,69.4125]}",19.07916667,69.4125
4827,4827,00000000000000003c07_0,11301,Tundra,-4.2962523,546.8942,178.50438,136.69481,46.611473,-98.24095,14.964451,101.11051,17.020012,-124.427475,23.94172,125.998375,27.999739,85.01568,171.94849,63.01594,176.03162,261.12228,7398.1924,113.09695,1158,1020,6649,0.90151393,-0.18123512,0.012302191,492.5,0.25481358,0.000438429,60,5.101638,0,0.059918884,0,0,796.69946,7.8738613,18.114567,57.17284,34.813347,52.597824,0,7499.75,4.25,2.4421535,0,0,1,0,1,0,0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.629166666666663,69.80416666666667]}",21.62916667,69.80416667
4828,4828,00000000000000003c98_0,11198,Tundra,3.0246823,557.01807,181.84035,153.71013,51.128834,-99.731705,22.338257,113.00659,113.00659,-127.464165,26.789871,122.03381,28.983538,86.98356,193.03441,65.000305,193.03441,281.17432,7839.043,36.9744,921,1958,7258,0.93683827,0.23553899,0.0822956,145,0.056786202,-1.64E-05,60.5,3.4909215,0,0.23224992,0,0,1232.1455,7.0636144,15.120526,60.094563,33.030087,50.406143,0,7605.3335,4.9666667,0.19611283,0,0,1,0,1,0,0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.245833333333337,69.77083333333333]}",30.24583333,69.77083333
4836,4836,000000000000000038a8_0,45012,Tundra,55.424828,2503.0088,233.21175,169.2656,48.312786,-14.119783,71.720314,135.02634,71.64945,-37.89715,35.217415,655.2116,106.31529,338.99603,474.60938,307.88156,900.7435,207.16273,5585.425,0,1164,423,6992,-0.9433389,0.06814975,0.008907086,294.5,-0.54694355,-0.000705248,65.5,6.3761673,0,0.14741589,0,0,1338.6461,6.5403957,25.033367,61.726,31.811401,50.46173,0,8667.917,4.925,7.711333,0,0,1,16,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.637499999999989,61.1875]}",5.6375,61.1875
4838,4838,000000000000000038c2_0,33081,Tundra,37.495556,1512.1112,223.21191,164.1186,52.090843,-43.321014,58.80434,127.43559,-28.230852,-69.251144,36.21985,537.8206,60.20068,195.66847,272.90265,192.65115,546.8368,233.36974,6377.4707,371.32556,1283,378,6999,-0.84716535,-0.5313164,0.09843144,458,0.17326659,-6.37E-05,493.5,38.431953,0,0.15024726,0,0,1293.5925,10.091221,27.666935,59.15136,30.737707,54.00026,0,8448.333,4.641667,0.58853644,0,0,1,0,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.0625,61.9375]}",7.0625,61.9375
4839,4839,00000000000000003958_0,10349,Tundra,-8.6124525,417.2013,227.0165,135.99704,59.20226,-97.84894,-32.63872,90.78427,90.11667,-124.787,40.74289,82.04988,17.000263,55.98403,171.16667,61.066624,177.134,260.78406,7057.5513,162.33702,1081,530,7501,-0.93745303,0.34809983,0.120500006,1202,-0.4073351,6.18E-05,192,17.847282,0,0.06677033,0,0,1649.1534,10.982927,22.731016,52.34577,36.64348,55.900764,0,8539.5,3.525,0,0,0,1,0,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.504166666666663,62.05416666666667]}",9.504166667,62.05416667
4840,4840,00000000000000003967_0,13355,Tundra,8.916414,620.90265,228.24751,157.74088,60.780293,-81.23898,-57.265343,110.938484,108.63356,-108.550285,34.74567,116.91709,26,87.96705,225.00075,78.01698,233.03421,266.29114,7169.505,17.156296,1034,463,7376,0.7769791,-0.053911693,-0.013414783,972,-0.019788686,0.000197876,28.5,2.675963,0,0.15181707,0,0,869.4007,5.3630853,14.363737,53.566303,41.050804,51.153008,0,8895.083,2.9416666,0.54345065,0,0,1,2.173913043,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.745833333333337,61.12916666666666]}",9.745833333,61.12916667
4843,4843,00000000000000003999_0,11157,Tundra,-1.8229278,535.01434,227.80446,145.53462,60.257294,-91.713585,-67.65802,99.17633,99.17633,-118.978645,49.102325,86.13281,19.049957,65.116356,240.51622,86.18305,240.51622,264.51324,7142.057,53.722717,1023,423,7346,-0.9299331,-0.36708188,-0.06500113,1084.5,-0.21510999,-0.000265153,88.5,8.02424,0,0.10661386,0,0,1188.8126,11.999583,19.937462,48.039524,39.785748,53.957256,0,8619.5,3.6416667,1.471357,0,0,1,0,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.237500000000011,62.05416666666667]}",10.2375,62.05416667
4846,4846,00000000000000003b12_0,28711,Tundra,37.254646,1812.0702,181.11598,163.54953,41.690598,-44.8661,50.90469,132.07265,58.56595,-66.637764,26.282516,477.54623,91.899254,286.681,381.56442,214.78174,627.362,230.1873,6546.3096,99.766464,1388,570,6235,-0.9898615,-0.12763712,-0.013462823,200.5,-0.47847357,0.000334388,70.5,7.9572954,0,0.25015512,0,0,1806.6405,6.47355,20.830042,62.043594,31.437452,53.322674,0,8137.8335,3.7916665,1.6949091,0,0,1,0,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.637499999999989,66.27916666666667]}",13.6375,66.27916667
4847,4847,00000000000000003bc1_0,18197,Tundra,19.372116,960.09863,171.21916,142.28673,39.31986,-64.41304,78.79631,115.54777,38.98187,-87.359604,28.970043,273.9993,45.016556,141.08267,208.04956,119.016685,337.0168,229.64632,6647.6895,47.70251,1083,1474,7050,0.72892964,-0.6845858,-0.08811699,222,0.08726346,-0.000325641,71.5,6.4076653,0,0.12463742,0,0,890.1798,5.5768356,22.037996,61.540035,32.738945,51.047863,0,7541.6665,3.575,1.7960587,0,0,1,0,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.754166666666663,69.4375]}",18.75416667,69.4375
4848,4848,00000000000000003bc8_0,17819,Tundra,23.29161,1282.0508,153.46407,120.06623,27.782127,-42.959953,66.986984,103.440346,41.47464,-60.96717,30.935099,366.19962,60.050247,180.25069,254.23393,166.15019,465.38385,181.0334,5352.242,5.243305,935,1725,7493,0.12237811,-0.8418989,0.02444851,283,-0.002260642,0.000541499,74,6.3248653,0,0.26936296,0,0,584.6506,5.142144,23.377964,61.36427,33.48182,55.25869,0,7480.9165,4.8333335,0.6073663,0,0,1,0,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.88749999999999,69.89583333333333]}",18.8875,69.89583333
4849,4849,00000000000000003be4_0,14622,Tundra,21.479053,750.0263,166.85254,136.00073,35.775997,-56.672096,34.6945,112.217865,40.92198,-78.416115,26.242197,207.064,38.99968,121.0155,184.88287,96.99906,262.0307,214.41684,6206.9243,12.465449,1215,1075,6285,0.4309364,0.8054496,-0.029565258,196.5,0.05931533,0.000796226,86.5,8.324523,8,0.093321204,8,0,803.6641,6.954844,21.978884,52.20775,40.805008,51.27625,0,7675,4.608333,1.2961841,0,0,1,0,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.745833333333337,69.8875]}",19.74583333,69.8875
4850,4850,00000000000000003bfc_0,10700,Tundra,13.332283,674.05225,179.63622,153.20671,47.012573,-81.37231,33.99258,119.026566,-76.64946,-108.503174,28.406536,183.03397,31.00002,99.9836,171.00012,81.98388,229.00108,261.7099,7431.3384,3.382431,1243,915,6166,0.7536253,-0.6571628,0.18578751,190.5,-0.18000746,0.00010977,166.5,13.674046,0,0.29635373,0,0,1573.1222,7.226058,25.614067,57.121082,35.520718,52.59472,0,7455.6665,4.141667,1.8912789,0,0,1,0,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[20.52916666666667,69.69583333333333]}",20.52916667,69.69583333
4857,4857,0000000000000000394a_0,12144,Tundra,12.267635,623.6647,233.18292,160.9874,61.936314,-76.34415,-53.49147,113.14984,110.87299,-104.6253,35.877106,90.78318,26.933306,84.79992,232.56578,81.86633,239.599,265.6127,7076.605,154.42374,994,438,7105,0.94985217,0.31255385,0.044800565,977,0.058920242,0.000268807,79.5,7.4365606,0,0.10282607,0,0,748.1681,7.832168,18.15174,54.10121,38.22111,50.757477,0,8971.75,2.7416668,0.19619434,0,0,1,0,1,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.345833333333331,60.62083333333334]}",9.345833333,60.62083333
4858,4858,0000000000000000396e_0,8984,Tundra,6.3082,378.9146,227.25717,152.61665,59.783546,-83.31888,-18.378206,106.81116,106.81116,-110.448944,47.98606,66.96624,14.99972,47.9827,175.99916,61.999718,175.99916,263.0656,7119.5044,7.3362026,992,747,6963,-0.7471292,0.0192172,0.009792689,927.5,0.09204303,-0.000115178,21,1.9256117,0,0.074845,0,0,2093.578,9.4592905,17.009882,50.277615,40.279236,56.239956,0,8764.083,3.1833334,0.1963146,0,0,1,0,1,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.820833333333326,62.1375]}",9.820833333,62.1375
4859,4859,000000000000000039ed_0,10233,Tundra,16.053123,476.1579,228.54318,163.31032,60.21757,-72.8422,-9.673816,116.34355,116.34355,-100.17412,35.85544,98.99809,22.99972,70.01563,187.13016,66.048874,187.13016,263.48444,7103.575,3.0623436,909,736,7167,0.8944265,-0.4247968,-0.21521515,734.5,0.58576477,-4.10E-05,24,2.2025328,0,0.07810175,0,0,943.9279,7.67003,13.991848,49.150406,43.316345,52.696,0,8658.417,2.8666666,8.008933,0.8474466,0,1,0,1,0.8474466,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.037499999999994,62.50416666666666]}",11.0375,62.50416667
4860,4860,00000000000000003a56_0,12409,Tundra,17.147062,502.38763,226.38232,166.85046,60.896317,-74.04156,-8.127141,119.40665,118.29888,-102.147194,34.44308,106.33456,24.050276,74.184044,192.41779,69.15053,195.51802,268.99765,7247.302,8.3339405,959,624,7225,0.5349789,-0.83842623,-0.44041324,701,0.22858644,-0.000133108,16.5,1.2861114,23,0.090704426,23,0,1096.4376,6.81155,15.0051775,52.96146,40.244892,51.989162,0,8655.25,3.2083333,16.969322,0,0,1,0,1,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.737500000000011,62.34583333333333]}",11.7375,62.34583333
4861,4861,00000000000000003b11_0,23459,Tundra,15.595005,1212.745,193.34877,153.12473,48.640957,-73.80864,33.27547,115.52801,-69.623566,-98.44639,27.158892,377.63745,54.200672,174.65198,248.86887,138.56796,410.6707,251.57112,7029.7437,17.23542,1279,537,6927,-0.61752105,-0.5406052,-0.29918587,513,0.34216672,-3.49E-05,24.5,2.299225,0,0.023827542,0,0,473.30338,10.847513,19.930294,52.753048,36.463707,53.98354,1,8124.4165,2.9666667,0,0,0,1,0,1,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.629166666666663,65.6375]}",13.62916667,65.6375
4862,4862,00000000000000003bab_0,17369,Tundra,26.436754,1209.4374,167.73706,132.88329,33.48487,-45.96471,75.9124,112.42927,45.24831,-66.74381,31.08493,349.10043,52.066975,164.15096,248.10129,150.03401,433.11823,199.6271,5820.359,11.060646,1289,1301,6607,-0.9248204,-0.37929618,0.18020174,205.5,0.6479392,-0.000137718,56.5,5.3163633,0,0.39333776,0,0,711.9425,7.863552,19.623188,56.33376,35.89501,55.74558,0,7685.25,4.883333,0.021686368,0,0,1,0,1,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.229166666666657,69.52916666666667]}",18.22916667,69.52916667
4863,4863,00000000000000003bac_0,15603,Tundra,24.087172,1054.3754,176.90028,145.10187,40.1284,-57.987923,82.22267,118.82537,43.647575,-81.74003,28.96347,298.53046,50.91632,154.78302,222.74847,127.81562,371.43066,226.84187,6534.0176,21.416346,1161,1187,6515,-0.51016605,-0.73392266,0.13664815,176.5,0.041516244,0.000687133,57,5.1317368,0,0.45717034,0,0,905.34015,6.7137833,19.029797,56.15445,37.08139,54.179405,0,7675.6665,4.0583334,2.97223,0,0,1,0,1,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.304166666666674,69.34583333333333]}",18.30416667,69.34583333
4864,4864,00000000000000003c9c_0,11485,Tundra,9.251203,543.5041,175.953,154.90538,47.633736,-90.38853,26.10554,116.71604,116.71604,-115.81313,24.992788,120.918396,28.966818,86.916916,179.85086,59.95038,179.85086,270.71854,7612.1685,25.306965,868,1879,7225,0.9740919,-0.110031605,-0.04294142,56,0.4018863,-0.000300149,56,5.602441,0,0.27346662,0,0,1288.4897,7.218047,17.687445,60.262775,32.587036,51.738194,0,7619.6665,5.0833335,0.018889738,0,0,1,0,1,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.479166666666657,69.6875]}",30.47916667,69.6875
4865,4865,00000000000000003ca0_0,11242,Tundra,8.262029,451.33102,170.63963,149.16438,44.46471,-88.27452,-22.251968,113.019775,113.019775,-111.412285,27.613693,96.09976,22.016487,68.04946,159.08234,54.016464,159.08234,260.5767,7384.0996,3.7352164,834,1846,7374,-0.08156208,0.9128672,0.8038185,110,-0.07365155,-7.85E-05,21,1.9505761,0,0.06303285,0,0,2547.3306,7.4613204,17.340273,59.280968,33.607616,52.08603,0,7592.25,4.5,0,0,0,1,0,1,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.9375,69.59583333333333]}",30.9375,69.59583333
4916,4916,0000000000000000193e_0,2982,Xeric shrublands,75.5441,536.9484,290.769,297.05618,112.97368,-48.387333,210.9152,210.9152,96.29553,-91.478294,19.809551,152.98364,31.983301,96.016205,96.016205,64.966324,177.91566,388.5345,9171.606,33.389683,1129,1282,4771,-0.7806116,-0.62489796,-0.21291305,1754,-0.27409565,-0.00016507,113,11.250687,48,0.073086515,48,0,1627.4896,27.17267,24.384205,30.568762,42.338074,73.83075,0,15450.167,3.7,31.522106,26.850744,0,1,0.438489586,1,0,26.850744,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.27083333333333,42.2625]}",-112.2708333,42.2625
4922,4922,00000000000000001964_0,1849,Xeric shrublands,201.0565,382.01532,360.10028,377.43597,123.41986,94.489265,277.82547,306.70276,94.489265,34.698467,48.11046,152.91608,6,18,70.033455,51.999775,152.91608,342.7375,7905.52,36.148556,985,884,2480,-0.67934203,0.15516192,-0.2086808,770.5,-0.088192984,-0.000271565,53,4.7420807,7,0.18066737,7,0,11770.57,24.461128,22.571297,46.141552,29.505861,74.655624,0,19371,2.8083334,6.4314103,51.806267,0,1,15.15151978,1,51.806267,0,1999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.32916666666667,33.8875]}",-111.3291667,33.8875
4924,4924,000000000000000019b5_0,1401,Xeric shrublands,183.05145,233.9162,375.6532,353.25024,125.524124,81.68408,208.93683,281.68875,274.7067,19.101263,71.78729,61.933426,3,11,91.99944,49.9833,142.96632,334.14896,7409.8306,76.65611,1131,784,2847,-0.04770171,0.9889783,0.54094976,1158.5,-0.024888873,-3.38E-05,27,2.545434,31,0.15329166,31,0,6614.558,23.632587,29.277925,50.118546,26.344349,78.01229,0,19425,3.2083333,2.9479692,20.825804,0,1,0,1,20.825804,0,1999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.7625,32.704166666666666]}",-109.7625,32.70416667
4932,4932,00000000000000001924_0,891,Xeric shrublands,209.70445,216.10211,349.54166,394.49014,124.571205,100.84256,284.5173,321.13965,321.13965,38.10575,49.659225,67.93371,3,11,94.13443,37.050373,94.13443,356.3844,8180.296,1.4606438,1009,792,2443,-0.53668135,0.8387852,0.50206745,662,-0.30133757,-1.56E-05,8,0.66032845,11,0.06619657,11,0,10448.241,18.679804,9.752694,50.52733,30.681625,80.75614,0,19656.666,3.475,0.6292295,55.97833,0,1,0,2,0,55.97833,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-113.62083333333334,34.8125]}",-113.6208333,34.8125
4939,4939,00000000000000001968_0,1784,Xeric shrublands,192.04799,464.20102,380.30536,357.11905,124.950935,92.44802,265.28256,288.35635,284.187,28.564707,55.219814,131.06734,7,27,142.06685,83.03371,232.10083,328.55435,7322.8228,48.47212,1121,1008,2956,-0.8652501,-0.23078638,0.25352064,1096.5,0.24855192,-0.00017504,85.5,7.204403,13,0.24115376,13,0,8022.3774,24.911339,31.991074,52.209633,22.793352,75.517426,0,19511.166,3.0416667,1.5824686,55.01001,0,1,0,2,0,55.01001,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.04583333333333,32.487500000000004]}",-111.0458333,32.4875
4940,4940,000000000000000019b0_0,1480,Xeric shrublands,176.05615,331.93164,381.49142,343.66412,126.444756,77.981804,202.12257,269.32413,261.2192,12.215639,90.8419,66.96627,5,16.999722,173.98236,81.98297,241.94891,331.44852,7078.578,61.247677,1038,940,2816,0.65493065,0.75568897,0.45423567,1356.5,0.39557236,-2.32E-06,7.5,0.68734336,0,0.099618904,0,0,28391.088,28.841194,13.760061,48.008507,23.179392,74.49683,0,19242.166,3.275,3.581623,53.944996,0,1,0,1,0,53.944996,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.8375,31.90416666666667]}",-109.8375,31.90416667
4943,4943,00000000000000001934_0,658,Xeric shrublands,237.99487,162.96655,377.56583,408.1911,128.6829,135.2896,306.13547,337.36353,337.36353,67.368645,67.15432,47.96627,2,6,94.96711,37.983555,94.96711,340.82242,7515.275,59.902184,935,817,2120,0.91691315,-0.3021459,-0.07689751,377,0.52403116,-0.000143218,30,1.7909473,0,0.021314276,0,0,2814.4993,22.828228,38.851326,51.29383,25.922758,81.79239,0,19684.25,2.625,0.004913173,26.344465,0,1,0,1,0,26.344465,2004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.87083333333334,32.5625]}",-112.8708333,32.5625
4944,4944,00000000000000001d79_0,2686,Xeric shrublands,212.89058,512.9521,353.28842,346.2776,102.98771,114.924644,114.924644,295.10767,278.0461,54.76589,42.95551,57,19,57,146.00084,67.96713,201.91782,291.5117,6592.5054,12.709253,1478,605,4676,-0.27164304,-0.9453042,-0.5637807,370.5,-0.18310916,-1.92E-05,8,0.74871165,0,0.06227713,0,0,122.8587,34.52156,8.044344,33.99595,31.514725,78.47313,0,17350.084,3.4,11.400426,54.4143,0,1,15.15151978,1,0,54.4143,2004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-100.4375,29.387500000000003]}",-100.4375,29.3875
4947,4947,00000000000000001966_0,1047,Xeric shrublands,229.18181,277.76953,367.81104,399.50946,124.92518,123.17716,306.39853,332.06635,328.46512,59.864433,49.07638,99.18436,4.0002794,13.033984,62.233673,40.116978,109.35065,339.64502,7795.572,0,943,799,2369,-0.6148515,-0.3630216,-0.2824651,488,-0.42380297,-9.17E-05,15.5,1.0587784,35,0.13020813,35,0,5442.5093,24.240522,14.1985235,46.955975,28.921402,78.974945,0,19590.416,2.7583334,7.060888,50.931465,0,1,0,1,0,50.931465,2005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.2125,33.0875]}",-111.2125,33.0875
4948,4948,0000000000000000196d_0,1278,Xeric shrublands,209.7575,334.19998,381.04074,376.00766,125.42037,111.79299,234.04396,303.50125,297.15057,46.855515,75.01495,77.01672,4,16.000278,150.09969,71.04984,207.1167,329.15213,7154.6406,22.641636,1007,811,2528,0.27938074,-0.9594132,-0.31780452,839,0.07529423,1.15E-05,4.5,0.37805003,0,0.17150044,0,0,8132.8296,28.599293,14.209836,46.24246,25.081388,80.61509,0,19580.334,2.9,0.009254644,55.82681,0,1,15.15151978,2,0,55.82681,2005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.89583333333333,31.995833333333337]}",-110.8958333,31.99583333
4949,4949,00000000000000001cdc_0,1188,Xeric shrublands,192.16994,256.01794,361.44275,356.54788,123.81674,82.36381,139.21445,289.04144,258.56512,13.985382,60.957718,28,7,22.983576,116.01733,42.0003,119.0009,342.5625,7595.759,20.672514,1301,382,2914,0.963408,0.2668486,0.20192039,897,0.5864843,-1.28E-05,8,0.6797787,0,0.15169874,0,0,10697.404,21.305626,6.176627,43.583363,35.08598,80.11059,0,19010.166,4.225,0.5181442,55.84667,0,1,15.15151978,1,0,55.84667,2005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.9375,31.77916666666667]}",-103.9375,31.77916667
